Zone,Channel Name,Bandwidth,Power,RX Freq,TX Freq,CTCSS Decode,CTCSS Encode,TX Prohibit
WA Analog Rptrs,Lyman 145.190,25K,Turbo,145.1900,144.5900,Off,127.3,Off
WA Analog Rptrs,RtlSnake 145.110,25K,Turbo,145.1100,144.5100,Off,127.3,Off
WA Analog Rptrs,SeaCol 444.550,25K,Turbo,444.5500,449.5500,141.3,141.3,Off
WA Analog Rptrs,TgrMtE 146.820,25K,Turbo,146.8200,146.2200,Off,103.5,Off
WA Analog Rptrs,TgrMtW 145.330,25K,Turbo,145.3300,144.7300,Off,179.9,Off
WA Analog Rptrs,AplCty 146.680,25K,Turbo,146.68,146.08,Off,156.7,Off
WA Analog Rptrs,MsnRdg 146.900,25K,Turbo,146.9000,146.3000,173.8,173.8,Off
WA Analog Rptrs,GoldMt 441.200,25K,Turbo,441.2000,446.2000,Off,123,Off
WA Analog Rptrs,Baldi 146.980,25K,Turbo,146.98,146.38,Off,131.8,Off
WA Analog Rptrs,GrassMt 145.370,25K,Turbo,145.3700,144.7700,Off,136.5,Off
WA Analog Rptrs,PtDefi 145.210,25K,Turbo,145.2100,144.6000,Off,141.3,Off
WA Analog Rptrs,Buckly 147.300,25K,Turbo,147.3000,147.9000,Off,88.5,Off
WA Analog Rptrs,CapPk 145.470,25K,Turbo,145.4700,144.8700,Off,100,Off
WA Analog Rptrs,OARS 147.360,25K,Turbo,147.3600,147.9600,Off,103.5,Off
WA Analog Rptrs,OARS 441.400,25K,Turbo,441.4000,446.4000,Off,103.5,Off
WA Analog Rptrs,StPete 440.550,25K,Turbo,440.5500,445.5500,103.5,103.5,Off
WA Analog Rptrs,LcyEOC 146.800,25K,Turbo,146.8000,146.2000,Off,97.4,Off
WA Analog Rptrs,MtCrwfrd 147380,25K,Turbo,147.3800,147.9800,Off,103.5,Off
WA Analog Rptrs,Yelm 440.200,25K,Turbo,440.2000,445.2000,Off,100,Off
WA Analog Rptrs,BawFaw 147.060,25K,Turbo,147.06,147.66,Off,110.9,Off
WA Analog Rptrs,Etnville 146.700,25K,Turbo,146.7000,146.1000,Off,103.5,Off
WA Analog Rptrs,Paradise 146.780,25K,Turbo,146.7800,146.1800,Off,103.5,Off
WA Analog Rptrs,Cntralia 145.490,25K,Turbo,145.4900,144.8900,Off,110.9,Off
WA Analog Rptrs,Cntralia 442.050,25K,Turbo,442.0500,447.0500,Off,103.5,Off
WA Analog Rptrs,KOPeak 441.300,25K,Turbo,441.3000,446.3000,Off,127.3,Off
WA Analog Rptrs,Nicolai 146.760,25K,Turbo,146.7600,146.1600,Off,118.8,Off
WA Analog Rptrs,Wikiup 442.500,25K,Turbo,442.5000,447.5000,Off,118.8,Off
WA Analog Rptrs,Megler 145.450,25K,Turbo,145.4500,144.8500,Off,118.8,Off
