Zone,Channel Name,Bandwidth,Power,RX Freq,TX Freq,CTCSS Decode,CTCSS Encode,TX Prohibit
Ham Simplex,2m-Call 146.520,25K,Turbo,146.52,146.52,Off,Off,Off
Ham Simplex,2m-ch01 146.540,25K,Turbo,146.54,146.54,Off,Off,Off
Ham Simplex,2m-ch02 146.560,25K,Turbo,146.56,146.56,Off,Off,Off
Ham Simplex,2m-ch03 146.580,25K,Turbo,146.58,146.58,Off,Off,Off
Ham Simplex,2m-ch04 147.520,25K,Turbo,147.52,147.52,Off,Off,Off
Ham Simplex,2m-ch05 147.540,25K,Turbo,147.54,147.54,Off,Off,Off
Ham Simplex,2m-ch06 147.560,25K,Turbo,147.56,147.56,Off,Off,Off
Ham Simplex,2m-ch07 147.580,25K,Turbo,147.58,147.58,Off,Off,Off
Ham Simplex,2m-ch08 147.600,25K,Turbo,147.6,147.6,Off,Off,Off
Ham Simplex,70cm-01 445.8000,12.5K,Turbo,445.8,445.8,Off,Off,Off
Ham Simplex,70cm-02 445.8125,12.5K,Turbo,445.8125,445.8125,Off,Off,Off
Ham Simplex,70cm-03 445.8250,12.5K,Turbo,445.825,445.825,Off,Off,Off
Ham Simplex,70cm-04 445.8375,12.5K,Turbo,445.8375,445.8375,Off,Off,Off
Ham Simplex,70cm-05 445.8500,12.5K,Turbo,445.85,445.85,Off,Off,Off
Ham Simplex,70cm-06 445.8625,12.5K,Turbo,445.8625,445.8625,Off,Off,Off
Ham Simplex,70cm-07 445.8750,12.5K,Turbo,445.875,445.875,Off,Off,Off
Ham Simplex,70cm-08 445.8875,12.5K,Turbo,445.8875,445.8875,Off,Off,Off
Ham Simplex,70cm-09 445.9000,12.5K,Turbo,445.9,445.9,Off,Off,Off
Ham Simplex,70cm-10 445.9125,12.5K,Turbo,445.9125,445.9125,Off,Off,Off
Ham Simplex,70cm-11 445.9250,12.5K,Turbo,445.925,445.925,Off,Off,Off
Ham Simplex,70cm-12 445.9375,12.5K,Turbo,445.9375,445.9375,Off,Off,Off
Ham Simplex,70cm-13 445.9500,12.5K,Turbo,445.95,445.95,Off,Off,Off
Ham Simplex,70cm-14 445.9625,12.5K,Turbo,445.9625,445.9625,Off,Off,Off
Ham Simplex,70cm-15 445.9750,12.5K,Turbo,445.975,445.975,Off,Off,Off
Ham Simplex,70cm-16 445.9875,12.5K,Turbo,445.9875,445.9875,Off,Off,Off
Ham Simplex,70cm-Call 446.00,12.5K,Turbo,446,446,Off,Off,Off
Ham Simplex,APRS 144.390,25K,Turbo,144.39,144.39,Off,Off,Off
