Zone,Channel Name,Bandwidth,Power,RX Freq,TX Freq,CTCSS Decode,CTCSS Encode,TX Prohibit
GMRS / FRS,GMRS-01 462.5625,25K,High,462.5625,462.5625,Off,Off,Off
GMRS / FRS,GMRS-02 462.5875,25K,High,462.5875,462.5875,Off,Off,Off
GMRS / FRS,GMRS-03 462.6125,25K,High,462.6125,462.6125,Off,Off,Off
GMRS / FRS,GMRS-04 462.6375,25K,High,462.6375,462.6375,Off,Off,Off
GMRS / FRS,GMRS-05 462.6625,25K,High,462.6625,462.6625,Off,Off,Off
GMRS / FRS,GMRS-06 462.6875,25K,High,462.6875,462.6875,Off,Off,Off
GMRS / FRS,GMRS-07 462.7125,25K,High,462.7125,462.7125,Off,Off,Off
GMRS / FRS,FRS-08 467.5625,12.5K,Low,467.5625,467.5625,Off,Off,On
GMRS / FRS,FRS-09 467.5875,12.5K,Low,467.5875,467.5875,Off,Off,On
GMRS / FRS,FRS-10 467.6125,12.5K,Low,467.6125,467.6125,Off,Off,On
GMRS / FRS,FRS-11 467.6375,12.5K,Low,467.6375,467.6375,Off,Off,On
GMRS / FRS,FRS-12 467.6625,12.5K,Low,467.663,467.663,Off,Off,On
GMRS / FRS,FRS-13 467.6875,12.5K,Low,467.6875,467.6875,Off,Off,On
GMRS / FRS,FRS-14 467.7125,12.5K,Low,467.7125,467.7125,Off,Off,On
GMRS / FRS,GMRS-15 462.5500,25K,High,462.5500,462.5500,Off,Off,Off
GMRS / FRS,GMRS-16 462.5750,25K,High,462.5750,462.5750,Off,Off,Off
GMRS / FRS,GMRS-17 462.6000,25K,High,462.6000,462.6000,Off,Off,Off
GMRS / FRS,GMRS-18 462.6250,25K,High,462.6250,462.6250,Off,Off,Off
GMRS / FRS,GMRS-19 462.6500,25K,High,462.6500,462.6500,Off,Off,Off
GMRS / FRS,GMRS-20 462.6750,25K,High,462.6750,462.6750,Off,Off,Off
GMRS / FRS,GMRS-21 462.7000,25K,High,462.7000,462.7000,Off,Off,Off
GMRS / FRS,GMRS-22 462.7250,25K,High,462.7250,462.7250,Off,Off,Off
GMRS / FRS,GMRS-15-Repeater,25K,High,462.55,467.55,Off,141.3,Off
GMRS / FRS,GMRS-16-Repeater,25K,High,462.575,467.575,Off,141.3,Off
GMRS / FRS,GMRS-17-Repeater,25K,High,462.6,467.6,Off,141.3,Off
GMRS / FRS,GMRS-18-Repeater,25K,High,462.625,467.625,Off,141.3,Off
GMRS / FRS,GMRS-19-Repeater,25K,High,462.65,467.65,Off,141.3,Off
GMRS / FRS,GMRS-20-Repeater,25K,High,462.675,467.675,Off,141.3,Off
GMRS / FRS,GMRS-21-Repeater,25K,High,462.7,467.7,Off,141.3,Off
GMRS / FRS,GMRS-22-Repeater,25K,High,462.725,467.725,Off,141.3,Off
