Zone,Channel Name,Bandwidth,Power,RX Freq,TX Freq,CTCSS Decode,CTCSS Encode,TX Prohibit
PubSafety MutAid,RedNet 153.830,12.5K,Low,153.83,153.83,Off,Off,On
PubSafety MutAid,LERN 155.370,12.5K,Low,155.37,155.37,Off,Off,On
PubSafety MutAid,OSCCR-OnSceneCmd,12.5K,Low,156.135,156.135,203.5,Off,On
PubSafety MutAid,MARS 155.190,12.5K,Low,155.19,155.19,Off,Off,On
PubSafety MutAid,WHEERS-1 463.000,12.5K,Low,463,463,179.9,Off,On
PubSafety MutAid,VSAR-16 155.160,12.5K,Low,155.16,155.16,127.3,Off,On
PubSafety MutAid,VFIRE-21 154.280,12.5K,Low,154.28,154.28,156.7,Off,On
PubSafety MutAid,VFIRE-22 154.265,12.5K,Low,154.265,154.265,156.7,Off,On
PubSafety MutAid,VFIRE-23 154.295,12.5K,Low,154.295,154.295,156.7,Off,On
PubSafety MutAid,VFIRE-24 154.2725,12.5K,Low,154.2725,154.2725,156.7,Off,On
PubSafety MutAid,VFIRE-25 154.2875,12.5K,Low,154.2875,154.2875,156.7,Off,On
PubSafety MutAid,VFIRE-26 154.3025,12.5K,Low,154.3025,154.3025,156.7,Off,On
PubSafety MutAid,VMED-28 155.340,12.5K,Low,155.34,155.34,156.7,Off,On
PubSafety MutAid,VMED-29 155.3475,12.5K,Low,155.3475,155.3475,156.7,Off,On
PubSafety MutAid,VLAW-31 155.475,12.5K,Low,155.475,155.475,156.7,Off,On
PubSafety MutAid,VLAW-32 155.4825,12.5K,Low,155.4825,155.4825,156.7,Off,On
