Zone,Channel Name,Bandwidth,Power,RX Freq,TX Freq,CTCSS Decode,CTCSS Encode,TX Prohibit
Business Common,BizC 151.5050,12.5K,Low,151.505,151.505,Off,Off,On
Business Common,BizC 151.5125,12.5K,Low,151.5125,151.5125,Off,Off,On
Business Common,BizC 151.6250,12.5K,Low,151.625,151.625,Off,Off,On
Business Common,BizC 151.6400,12.5K,Low,151.64,151.64,Off,Off,On
Business Common,BizC 151.7000,12.5K,Low,151.7,151.7,Off,Off,On
Business Common,BizC 151.7600,12.5K,Low,151.76,151.76,Off,Off,On
Business Common,BizC 151.9550,12.5K,Low,151.955,151.955,Off,Off,On
Business Common,BizC 154.5150,12.5K,Low,154.515,154.515,Off,Off,On
Business Common,BizC 154.5275,12.5K,Low,154.5275,154.5275,Off,Off,On
Business Common,BizC 154.5400,12.5K,Low,154.54,154.54,Off,Off,On
Business Common,BizC 158.4000,12.5K,Low,158.4,158.4,Off,Off,On
Business Common,BizC 451.8000,12.5K,Low,451.8,451.8,Off,Off,On
Business Common,BizC 451.8125,12.5K,Low,451.8125,451.8125,Off,Off,On
Business Common,BizC 456.8000,12.5K,Low,456.8,456.8,Off,Off,On
Business Common,BizC 456.8125,12.5K,Low,456.8125,456.8125,Off,Off,On
Business Common,BizC 457.5250,12.5K,Low,457.525,457.525,Off,Off,On
Business Common,BizC 457.5375,12.5K,Low,457.5375,457.5375,Off,Off,On
Business Common,BizC 457.5500,12.5K,Low,457.55,457.55,Off,Off,On
Business Common,BizC 457.5625,12.5K,Low,457.5625,457.5625,Off,Off,On
Business Common,BizC 457.5750,12.5K,Low,457.575,457.575,Off,Off,On
Business Common,BizC 457.5875,12.5K,Low,457.5875,457.5875,Off,Off,On
Business Common,BizC 457.6000,12.5K,Low,457.6,457.6,Off,Off,On
Business Common,BizC 457.6125,12.5K,Low,457.6125,457.6125,Off,Off,On
Business Common,BizC 464.5000,12.5K,Low,464.5,464.5,Off,Off,On
Business Common,BizC 464.5500,12.5K,Low,464.55,464.55,Off,Off,On
Business Common,BizC 467.7500,12.5K,Low,467.75,467.75,Off,Off,On
Business Common,BizC 467.7625,12.5K,Low,467.7625,467.7625,Off,Off,On
Business Common,BizC 467.7750,12.5K,Low,467.775,467.775,Off,Off,On
Business Common,BizC 467.7875,12.5K,Low,467.7875,467.7875,Off,Off,On
Business Common,BizC 467.8000,12.5K,Low,467.8,467.8,Off,Off,On
Business Common,BizC 467.8125,12.5K,Low,467.8125,467.8125,Off,Off,On
Business Common,BizC 467.8250,12.5K,Low,467.825,467.825,Off,Off,On
Business Common,BizC 467.8375,12.5K,Low,467.8375,467.8375,Off,Off,On
Business Common,BizC 467.8500,12.5K,Low,467.85,467.85,Off,Off,On
Business Common,BizC 467.8625,12.5K,Low,467.8625,467.8625,Off,Off,On
Business Common,BizC 467.8750,12.5K,Low,467.875,467.875,Off,Off,On
Business Common,BizC 467.8875,12.5K,Low,467.8875,467.8875,Off,Off,On
Business Common,BizC 467.9000,12.5K,Low,467.9,467.9,Off,Off,On
Business Common,BizC 467.9125,12.5K,Low,467.9125,467.9125,Off,Off,On
Business Common,BizC 467.9250,12.5K,Low,467.925,467.925,Off,Off,On
Business Common,BizC 469.5000,12.5K,Low,469.5,469.5,Off,Off,On
Business Common,BizC 469.5500,12.5K,Low,469.55,469.55,Off,Off,On
