Zone,Channel Name,Bandwidth,Power,RX Freq,TX Freq,CTCSS Decode,CTCSS Encode,TX Prohibit
NIFOG Interop,VCALL-10,12.5K,Low,155.7525,155.7525,156.7,Off,On
NIFOG Interop,VTAC-11 / 36,12.5K,Low,151.1375,151.1375,156.7,Off,On
NIFOG Interop,VTAC-12 / 37,12.5K,Low,154.4525,154.4525,156.7,Off,On
NIFOG Interop,VTAC-13 / 38,12.5K,Low,158.7375,158.7375,156.7,Off,On
NIFOG Interop,VTAC-14 / 33,12.5K,Low,159.4725,159.4725,156.7,Off,On
NIFOG Interop,VTAC-17 / 17D,12.5K,Low,161.85,161.85,156.7,Off,On
NIFOG Interop,VTAC-34 / 34D,12.5K,Low,158.7375,158.7375,156.7,Off,On
NIFOG Interop,VTAC-35 / 35D,12.5K,Low,159.4725,159.4725,156.7,Off,On
NIFOG Interop,UCALL-40 / 40D,12.5K,Low,453.2125,453.2125,156.7,Off,On
NIFOG Interop,UTAC-41 / 41D,12.5K,Low,453.4625,453.4625,156.7,Off,On
NIFOG Interop,UTAC-42 / 42D,12.5K,Low,453.7125,453.7125,156.7,Off,On
NIFOG Interop,UTAC-43 / 43D,12.5K,Low,453.8625,453.8625,156.7,Off,On
NIFOG Interop,NC-1 / IR-5,12.5K,Low,169.5375,169.5375,156.7,Off,On
NIFOG Interop,NC-2 / IR-15,12.5K,Low,410.2375,410.2375,156.7,Off,On
NIFOG Interop,IR-1 / IR-6,12.5K,Low,170.0125,170.0125,156.7,Off,On
NIFOG Interop,IR-2 / IR-7,12.5K,Low,170.4125,170.4125,156.7,Off,On
NIFOG Interop,IR-3 / IR-8,12.5K,Low,170.6875,170.6875,156.7,Off,On
NIFOG Interop,IR-4 / IR-9,12.5K,Low,173.0375,173.0375,156.7,Off,On
NIFOG Interop,IR-10 / IR-16,12.5K,Low,410.4375,410.4375,156.7,Off,On
NIFOG Interop,IR-11 / IR-17,12.5K,Low,410.6375,410.6375,156.7,Off,On
NIFOG Interop,IR-12 / IR-18,12.5K,Low,410.8375,410.8375,156.7,Off,On
NIFOG Interop,IR-13,12.5K,Low,413.1875,413.1875,156.7,Off,On
NIFOG Interop,IR-14,12.5K,Low,413.2125,413.2125,156.7,Off,On
NIFOG Interop,LE-1 / LE-A,12.5K,Low,167.0875,167.0875,167.9,Off,On
NIFOG Interop,LE-B,12.5K,Low,414.0375,414.0375,167.9,Off,On
NIFOG Interop,LE-10 / LE-16,12.5K,Low,409.9875,409.9875,167.9,Off,On
