Zone,Channel Name,Bandwidth,Power,RX Freq,TX Freq,CTCSS Decode,CTCSS Encode,TX Prohibit
PC ARES Main,PC-1s 145.370,25K,High,145.37,144.77,Off,136.5,Off
PC ARES Main,PC-2s 146.700,25K,High,146.70,146.10,Off,103.5,Off
PC ARES Main,PC-3s 444.675,25K,High,444.675,449.675,Off,136.5,Off
PC ARES Main,PC-4s 145.230,25K,High,145.230,144.630,Off,146.2,Off
PC ARES Main,PC-7d 146.460,25K,High,146.46,146.46,Off,Off,Off
PC ARES Main,PC-8s 145.350,25K,High,145.35,144.75,Off,103.5,Off
PC ARES Main,PC-9s 440.225,25K,High,440.225,445.225,Off,103.5,Off
PC ARES Main,PC-10s 146.620,25K,High,146.62,146.02,Off,103.5,Off
PC ARES Main,PC-11d 145.500,25K,High,145.500,145.500,Off,Off,Off
PC ARES Main,PC-12d 445.825,25K,High,445.825,445.825,Off,Off,Off
PC ARES Main,PC-13s 440.575,25K,High,440.575,445.575,Off,173.8,Off
PC ARES Main,PC-14d 146.540,25K,High,146.54,146.54,Off,Off,Off
PC ARES Main,PC-15s 444.900,25K,High,444.9,449.9,Off,162.2,Off
PC ARES Main,PC-16d 446.050,25K,High,446.05,446.05,Off,Off,Off
PC ARES Main,PC-17s 442.450,25K,High,442.45,447.45,Off,103.5,Off
PC ARES Main,PC-18s 145.210,25K,High,145.21,144.61,Off,141.3,Off
PC ARES Main,PC-19s 147.280,25K,High,147.28,147.88,Off,103.5,Off
PC ARES Main,PC-20d 145.530,25K,High,145.53,145.53,Off,Off,Off
PC ARES Main,PC-21d 146.550,25K,High,146.55,146.55,Off,Off,Off
PC ARES Main,PC-22s 146.640,25K,High,146.64,146.04,Off,103.5,Off
PC ARES Main,PC-23s 147.300,25K,High,147.300,147.9,Off,88.5,Off
PC ARES Main,PC-24s 442.625,25K,High,442.625,447.625,Off,103.5,Off
PC ARES Main,PC-25d 146.580,25K,High,146.58,146.58,Off,Off,Off
PC ARES Main,PC-26s 444.750,25K,High,444.75,449.75,Off,103.5,Off
PC ARES Main,PC-27d 445.900,25K,High,445.9,445.9,Off,146.2,Off
PC ARES Main,PC-28s 442.725,25K,High,442.725,447.725,Off,103.5,Off
