Zone,Channel Name,Power,RX Freq,TX Freq,Color Code,Talk Group,TimeSlot,Call Type,TX Permit
Gold 440.7000,Gold Audio Test,Turbo,440.7,445.7,1,Audio Test,2,Group Call,Same Color Code
Gold 440.7000,Gold CascadesE,Turbo,440.7,445.7,1,CascadeEast,1,Group Call,Same Color Code
Gold 440.7000,Gold CA State,Turbo,440.7,445.7,1,CA State,1,Group Call,Same Color Code
Gold 440.7000,Gold I-5,Turbo,440.7,445.7,1,I-5,1,Group Call,Same Color Code
Gold 440.7000,Gold ID State,Turbo,440.7,445.7,1,ID State,1,Group Call,Same Color Code
Gold 440.7000,Gold Local 1,Turbo,440.7,445.7,1,Local 1,1,Group Call,Same Color Code
Gold 440.7000,Gold Local 2,Turbo,440.7,445.7,1,Local 2,2,Group Call,Same Color Code
Gold 440.7000,Gold Net 2,Turbo,440.7,445.7,1,Net 2,2,Group Call,Same Color Code
Gold 440.7000,Gold OR State,Turbo,440.7,445.7,1,OR State,1,Group Call,Same Color Code
Gold 440.7000,Gold Parrot,Turbo,440.7,445.7,1,Parrot,1,Group Call,Same Color Code
Gold 440.7000,Gold PNW 1,Turbo,440.7,445.7,1,PNW 1,1,Group Call,Same Color Code
Gold 440.7000,Gold PNW 2,Turbo,440.7,445.7,1,PNW 2,2,Group Call,Same Color Code
Gold 440.7000,Gold PNWR,Turbo,440.7,445.7,1,PNWR,2,Group Call,Same Color Code
Gold 440.7000,Gold TAC-1,Turbo,440.7,445.7,1,TAC 1,2,Group Call,Same Color Code
Gold 440.7000,Gold TAC-2,Turbo,440.7,445.7,1,TAC 2,2,Group Call,Same Color Code
Gold 440.7000,Gold TAC-3,Turbo,440.7,445.7,1,TAC 3,2,Group Call,Same Color Code
Gold 440.7000,Gold TAC-310,Turbo,440.7,445.7,1,TAC 310,2,Group Call,Same Color Code
Gold 440.7000,Gold TAC-311,Turbo,440.7,445.7,1,TAC 311,2,Group Call,Same Color Code
Gold 440.7000,Gold USA-Wide,Turbo,440.7,445.7,1,USA-wide,2,Group Call,Same Color Code
