Zone Name,Comment,Power,RX Freq,TX Freq,Color Code,ARRG 2,Alberta 2,Audio Test 2,BC 1,BC 2,BayNet 2,Bridge 2,Cactus 2,California 1,Canada 2,Cascades 1;Cascad 1,Comm 1,Comm 2,Fusion 2,Hawaii 1-2,I-5-1,I-84-2,Idaho 1,Idaho ARES 2,Inland 2,Local 1,Local 2,Local Net 1,MPRG 1-2,Manitoba 2,Mountain 2,Michigan 1,Montana 2,Net 2,New Brunswick 2;New Bruns 2,North America 2;North Am 2,Ontario 2,Oregon 1,PNW 1,PNW 2,PNW Regional 2;PNW Reg 2,Parrot 1,PS1-DNU,PS2-DNU,Quebec 2,SNARS 1-2,SoCal 2,TAC 1-2,TAC 2-2,TAC 3-2,TAC 310-2,TAC 311-2,TAC 312-2,TAC 313-2,TAC 314-2,TAC 315-2,TAC 316-2,TAC 317-2,TAC 318-2,TAC 319-2,TAC 8-2,TG 9,TAC Eng 123-2;TAC Eng 2,USA 2,Utah 2,Wash 1,Wash 2,Worldwide 2,Worldwide Eng 2;WW Eng 2,WW Eng 113-2
Ariel/Ariel VHF;ARA,,High,147.4125,146.4125,1,-,-,2,1,-,-,2,-,1,-,1,1,-,-,-,1,-,-,-,-,1,2,-,-,-,-,-,2,2,-,2,-,1,1,2,-,1,1,2,-,-,-,2,-,-,2,2,2,2,2,-,-,-,-,2,-,-,-,2,-,1,2,2,-,-
Bordmn/GolG;BOG,,High,443.375,448.375,1,2,-,2,-,-,2,2,2,1,-,1,1,-,-,-,1,2,1,-,2,1,2,-,2,-,2,-,2,2,-,2,-,1,1,2,2,1,-,-,-,2,2,2,2,2,2,-,-,-,-,-,-,-,-,-,-,-,-,2,2,1,2,2,2,-
Bellingham UHF;BEU,,High,440.925,445.925,1,-,-,2,1,-,-,2,-,1,-,1,1,-,-,-,1,-,1,-,-,1,2,-,-,-,-,-,2,-,-,2,-,1,1,2,-,1,1,2,-,2,-,2,2,2,2,2,2,2,2,2,2,2,2,2,-,-,2,2,-,1,2,2,2,-
Bellingham VHF;BEV,,High,146.5,147.5,1,-,-,2,1,-,-,2,-,1,-,1,1,-,-,2,1,-,1,-,-,1,2,-,-,-,-,-,2,2,-,2,-,1,1,2,-,1,1,2,-,2,-,2,2,2,2,2,2,2,2,2,2,2,2,2,-,-,2,2,-,1,2,2,2,-
Biggs/Juniper Pt;BIJ,,High,443.325,448.325,1,2,-,2,-,-,2,2,2,1,-,1,1,-,-,-,1,2,1,-,2,1,2,-,2,-,2,-,2,2,-,2,-,1,1,2,2,1,-,-,-,2,2,2,2,2,2,-,-,-,-,-,-,-,-,-,-,-,-,2,2,1,2,2,2,-
Boistfort/BawFaw;BOB,,High,146.5,147.5,1,-,-,2,1,-,-,-,-,-,-,1,-,-,-,-,1,-,-,-,-,1,2,-,-,-,-,-,-,2,-,-,-,1,1,2,2,1,1,2,-,-,-,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,-,-,-
Bremerton/Gold;BRG,,High,440.7,445.7,1,-,-,2,1,-,-,2,-,1,-,1,1,-,-,2,1,-,-,-,-,1,2,-,-,-,-,-,2,2,-,2,-,1,1,2,2,1,1,2,-,2,-,2,2,2,2,2,2,2,2,2,2,2,2,2,-,-,2,2,-,1,2,2,2,-
Cascad Lock/Hill;CAH,,High,443.325,448.325,1,2,-,2,-,-,2,2,2,1,-,1,1,-,-,-,1,2,1,-,2,1,2,-,2,-,2,-,2,2,-,2,-,1,1,2,2,1,-,-,-,2,2,2,2,2,2,-,-,-,-,-,-,-,-,-,-,-,-,2,2,1,2,2,2,-
Chinook/Megler U;CMU,,High,440.9625,445.9625,1,-,-,2,-,-,-,2,-,1,-,1,-,-,-,-,-,-,1,-,-,1,2,-,-,-,2,-,2,2,-,2,-,1,1,2,2,1,-,-,-,-,-,2,2,2,2,2,2,-,-,-,-,-,-,-,-,-,-,2,-,1,2,2,-,-
Corbett/Lookout;COL,,High,444.15,449.15,1,2,-,2,-,-,2,2,2,1,-,1,1,-,-,-,1,2,1,-,2,1,2,-,2,-,2,-,2,2,-,2,-,1,1,2,2,1,-,-,-,2,2,2,2,2,2,-,-,-,-,-,-,-,-,-,-,-,-,2,2,1,2,2,2,-
