Alberta 2,3026
APRS 31099 PC,31099
Arizona,3104
ARRG 2,31418
Audio Test 2,9999
BayNet 2,31075
BC 1,3027
BC 2,103027
Bridge 2,3100
California 1,3106
Cactus 2,3185
Canada 2,302
Cascades 1,3191
Comm 1,3777215
Comm 2,3777216
Fusion 2,3182
Hawaii 1-2,3115
I-5-1,3168
I-84-2,31419
Idaho 1,3116
Idaho ARES 2,31160
Inland 2,465263
Local 1,3181
Local 2,3166
Local Net 1,3183
Manitoba 2,3024
Michigan 1,3126
Montana 2,3130
Mountain 2,3177
MPRG 1-2,31301
Net 1,31001
Net 2,31002
New Brunswick 2,3029
North America 2,3163
Ontario 2,3023
Oregon 1,3141
Parrot 1,9998
PNW 1,3187
PNW 2,103187
PNW Regional 2,31771
PS1-DNU,91111
PS2-DNU,92222
Quebec 2,3022
Simplex 99,99
SNARS 1-2,31328
SoCal 2,31066
TAC 1-2,8951
TAC 2-2,8952
TAC 310-2,310
TAC 311-2,311
TAC 312-2,312
TAC 313-2,313
TAC 314-2,314
TAC 315-2,315
TAC 316-2,316
TAC 317-2,317
TAC 318-2,318
TAC 319-2,319
TAC 3-2,8953
TAC 8-2,8958
TAC Eng 123-2,123
TG 9,9
USA 2,1776
Utah 2,3149
Wash 1,3153
Wash 2,103153
Worldwide 2,3161
Worldwide Eng 2,13
WW Eng 113-2,113
